,APPID,ORG_CDE,CRS_CDE,DIV_CDE,INSTIT_DIV_CDE,CRS_TITLE,CRS_TITLE_2,SHORT_CRS_TITLE_1,SHORT_CRS_TITLE_2,DFLT_CREDIT_HRS,ACTIVE_INACTIVE_ST,FIXED_VAR_CREDIT,LOAD_CONTACT_HRS,CRS_REPEATABLE,GRADE_SCALE_CDE,HONORS_DESIGNATION,TUITION_CDE,REFUND_CDE,DTE_APPROVED,INACT_DISCONT_DTE,PREREQ_CDE,ADV_REQ_CDE,SCHOOL_CDE,IPEDS_CIP_CDE,MAX_ENROLL_DFLT,MIN_ENROLL_DFL,CATALOG_TEXT,ADD_TO_SPECIAL_GPA,CRS_CLOCK_HRS,FIXED_VAR_CLOCK,LECTURE_HRS,LECTURE_LAB_HRS,LAB_HRS,PROG_CATEGORY,CREDIT_TYPE_CDE,HRS_TOWARD_DEGRE,PUBLIC_REGISTRATION,CRS_CAPACITY_DFLT,CRS_AUTHORIZATION_REQ,MUST_PAY,LOC_CDE,MIN_CREDIT_HRS,MAX_CREDIT_HRS,FLEXIBLY_SCHEDULED_CRS,IPEDS_HOUR_TYPE,PESC_COURSE_CREDIT_BASIS_CDE,PESC_COURSE_LEVEL_CDE,VARIABLE_GRADE_TYPE,DISTANCE_EDUCATION,CATALOG_RECORD_FOR_LAB_REPEAT,LAB_REPEATABLE,HRS_TOWARD_DEGRE_LAB,CRS_STATE_TYPE,DEVELOPMENTAL_CRS,INTER_INSTITUTIONAL,DUAL_ENROLLMENT_ALLOWED,IN_DISTRICT,STATE_FUNDED,CIP_EXT,CRS_INSTRTN_METHOD,MIN_CLOCK_HRS,MAX_CLOCK_HRS,EXCLUDE_FROM_DROP_LIMIT,EXCLUDE_FROM_REPEAT_LIMIT,NUMBER_OF_WEEKS,LECTURE_CLOCK_HRS,LAB_CLOCK_HRS,SELF_PACED,DEV_PERFORMANCE_CRS,TIMES_MAY_BE_TAKEN,TIMES_MAY_BE_TAKEN_LAB,ATTENDANCE_CENSUS_DATE_EXCLUDED,ATTENDANCE_CHECKPOINT_EXCLUDED,ESOL_COURSE,GOID,IS_CBE_CATALOG,ALLOW_OPEN_ENTRY,ALLOW_OPEN_EXIT,MAX_DAY_DURATION,MAX_REGISTRATION_DAYS,GRADING_METHOD,CENSUS_METHOD,CENSUS_VALUE,LAST_WITHDRAWAL_VALUE,CampusComEligible,UDEF_1A_1,UDEF_1A_2,UDEF_1A_3,UDEF_1A_4,UDEF_1A_5,UDEF_2A_1,UDEF_2A_2,UDEF_2A_3,UDEF_3A_1,UDEF_3A_2,UDEF_3A_3,UDEF_5A_1,UDEF_5A_2,UDEF_5A_3,UDEF_DTE_1,UDEF_TXT,UDEF_DTE_2,UDEF_3_2_1,UDEF_3_2_2,UDEF_5_2_1,UDEF_5_2_2,UDEF_5_2_3,UDEF_5_2_4,UDEF_7_2_1,UDEF_7_2_2,UDEF_7_2_3,UDEF_7_2_4,UDEF_7_2_5,UDEF_7_2_6,UDEF_7_2_7,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME
0,1,*LOCAL,THE  650                      ,U ,,Advanced Projects in Acting        ,,Adv Proj-Acting,,1.0,A,F,1.0,Y,G1,,,,,,,THE452  ,   ,,99,0,"A senior acting recital designed to demonstrate the proficiency level of majors with an acting emphasis. The recital may take the form of a one-person performance or a selection of scenes, monologues, and /or musical numbers demonstrating the student’s range and versatility. The project requires conceptualization, organization and selection of performance material, and adherence to a pre-arranged rehearsal process. Written components include a detailed proposal, a comprehensive statement of concept, thorough documentation of process, and analytical self-evaluation. Prerequisites: senior standing and consent of department chair. (Offered by arrangement)",Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926700,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xe9',MBAEHR,of_rename_adv_req_code,2018-01-14 13:34:53.980
1,2,*LOCAL,THE  690                      ,U ,,Advanced Projects in Directing     ,,Adv Proj-Dirctg,,1.0,A,F,1.0,Y,G1,,,,,,,THE462  ,   ,,99,0,"The faculty-supervised staging of an extended one-act or a full-length play as an advanced project. The production is staged in the Mills Experimental Theatre and may receive modest technical and design support, when appropriate. Comprehensive playtext analysis and documentation of process are components of this course. Prerequisite: Directing II (THE-490), Design for the Stage (THE-140), or consent of department chair. (Offered by arrangement)",Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926701,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xea',MBAEHR,of_rename_adv_req_code,2018-01-14 13:35:30.023
2,3,*LOCAL,THE  815                      ,U ,,Ind Study-Theatre                  ,,Ind Stdy-Theatr,,1.0,A,F,1.0,Y,G1,,,,,,,THE444  ,   ,,99,0,Independent study under the direction of a faculty member of the department.  May be taken for an X status grade with consent of instructor prior to registration. Prerequisite: consent of instructor.,Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926702,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xeb',MBAEHR,of_rename_adv_req_code,2018-01-14 13:35:58.070
3,4,*LOCAL,THE  825                      ,U ,,Ind Study-Theatre                  ,,Ind Stdy-Theatr,,1.0,A,F,1.0,Y,G1,,,,,,,THE825  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926703,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xec',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
4,5,*LOCAL,THE  895                      ,U ,,Internship in Theatre Arts         ,,Theat Internshp,,1.0,A,F,1.0,Y,G1,,,,,,,THE494  ,   ,,99,0,"An experience in professional or community theatre under the direction of an on-site supervisor in cooperation with a faculty member of the department and the Director of Internships. A minimum of 140 hours on-site experience is required. S/U basis only. One internship credit may be used to satisfy the requirements for a major in theatre arts. Prerequisites: junior standing, declared major in theatre arts, and consent of department.",Y,0.0,F,0.0,0.0,0.0,,SU,2.0,N,0,N,N,,1.0,1.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926704,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xed',MBAEHR,of_rename_adv_req_code,2018-01-14 13:36:29.147
5,6,*LOCAL,TRF  001                      ,U ,,transfer course                    ,,transfer course,,0.0,A,V,0.0,Y,G1,,,,,,,TRF001  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,99.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926705,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xee',KPALMER,w_def_catalog,2009-05-22 09:02:00.000
6,7,*LOCAL,TRF  002                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF002  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926706,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xef',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
7,8,*LOCAL,TRF  003                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF003  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926707,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf0',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
8,9,*LOCAL,TRF  004                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF004  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926708,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf1',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
9,10,*LOCAL,TRF  005                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF005  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926709,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf2',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
10,11,*LOCAL,TRF  006                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF006  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926710,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf3',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
11,12,*LOCAL,TRF  007                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF007  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926711,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf4',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
12,13,*LOCAL,TRF  008                      ,U ,,transfer                           ,,transfer       ,,0.0,A,V,0.0,Y,G1,,,,,,,TRF008  ,   ,,99,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.0,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,0,0,N,N,N,1926712,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf5',CMDS/sa,*CMDS CONVERSION,2009-05-11 14:00:00.000
13,14,*LOCAL,BIO  319                      ,U ,,Adv Mammalian Ecology              ,,Adv MamEco     ,,1.0,A,F,1.0,Y,G1,,,,,,,BIO319  ,,,99,0,"Mammals of Minnesota: their natural history, form/function relations, behavior, distributions, and interaction with their environment and other organisms are studied. Class activities include direct observations, reading tracks and ""sign."" Live-trap mark and recapture studies supplemented by readings, lectures, and discussions. (Offered  summers at the Wilderness Field Station)",Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,8,N,N,,1.0,1.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926713,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf6',KPIERSON,w_def_catalog,2013-04-16 07:01:00.000
14,15,*LOCAL,BIO  320                      ,U ,,Entomology Lab                     ,,Entomology Lab ,,0.2,I,F,0.2,Y,G1,,,,,,,BIO180  ,   ,,0,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.2,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926714,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf7',KWEAVER,w_def_catalog,2009-10-23 13:12:00.000
15,16,*LOCAL,BIO  325                      ,U ,,Microbiology                       ,,Microbiology   ,,1.0,A,F,1.0,Y,G1,,,,2018-01-22,,,BIO325  ,   ,,18,0,"Study of major fields of microbiology with emphasis on bacteria and viruses. Topics include bacterial cell structure, genetics, and pathogenesis as well as immunology and epidemiology.  Three lectures per week. Prerequisites: Cellular and Molecular Biology (BIO-145), Introduction to Biology Laboratory (BIO-145L), Organismal and Ecological Biology (BIO-155), Organic Chemistry I (CHM-221) and Organic Laboratory (CHM-322) or Genetics (BIO-235).",Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,18,N,N,COE  ,1.0,1.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926715,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf8',smassow,w_def_catalog,2018-01-22 15:52:52.437
16,17,*LOCAL,BIO  330                      ,U ,,MOLEC GENETICS LAB                 ,,MOLEC GENETICS ,,0.2,I,F,0.0,Y,G1,,,,,,,BIO430  ,   ,,0,0,,Y,0.0,F,0.0,0.0,0.0,,CR,0.2,N,0,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926716,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xf9',KWEAVER,w_def_catalog,2009-10-23 13:12:00.000
17,18,*LOCAL,BIO  335                      ,U ,,Conservation and Ecology of Mammals,,Cons& Ecol Mamm,,1.0,A,F,0.0,Y,G1,,,,2021-03-27,,,BIO335  ,   ,,15,0,"The study of mammals of Minnesota and the natural history, form/function relations, behavior, distributions, and interaction with their environment and other organisms. Class activities include direct observations, reading tracks and ""sign."" Live-trap mark and recapture studies supplemented by readings, lectures, and discussions. (Offered summers at the Wilderness Field Station)",Y,0.0,F,0.0,0.0,0.0,,CR,1.0,N,10,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926717,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xfa',CAshton,w_def_catalog,2021-03-27 10:35:14.680
18,19,*LOCAL,BIO  340                      ,U ,,Techniques in Molecular Biology Lab,,Molec Bio Lab  ,,0.5,A,F,0.5,Y,G1,,,,,,,BIO345L ,   ,,99,0,Six hours per week. Concurrent with Techniques in Molecular Biology (BIO-345). (0.5 course credit),Y,0.0,F,0.0,0.0,0.0,,CR,0.5,N,12,N,N,,0.0,0.0,N,C,,,N,N,N,N,0.0,,N,N,N,Y,N,,,,,N,N,0,0.0,0.0,N,N,2,0,N,N,N,1926718,False,False,False,,,N,D,0,0,False,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'\x00\x00\x00\x00nt\x16\xfb',MBAEHR,of_rename_adv_req_code,2018-01-12 16:38:27.453
